Temp[C],Pressure[kPa(abs)],Volume[m3/kg]_Liquidvf,Volume[m3/kg]_Vaporvg,Density[kg/m3]_Liquid1/vf,Density[kg/m3]_Vapor1/vg,Enthalpy[kJ/kg]_Liquidhf,Enthalpy[kJ/kg]_Latenthfg,Enthalpy[kJ/kg]_Vaporhg,Entropy[kJ/(kg)(K)]_Liquidsf,Entropy[kJ/(kg)(K)]_Vaporsg
-56,20.49,0.0007,0.8511,1459.6,1.175,128.8,235.4,364.2,0.7097,1.7937
-55,21.8,0.0007,0.8032,1456.9,1.245,130,234.8,364.8,0.7152,1.7916
-54,23.17,0.0007,0.7587,1454.1,1.318,131.2,234.2,365.4,0.7208,1.7896
-53,24.62,0.0007,0.7168,1451.3,1.395,132.4,233.6,366.1,0.7263,1.7876
-52,26.14,0.0007,0.6775,1448.5,1.476,133.7,233.1,366.7,0.7318,1.7857
-51,27.73,0.0007,0.641,1445.7,1.56,134.9,232.5,367.3,0.7373,1.7838
-50,29.41,0.0007,0.6068,1442.9,1.648,136.1,231.9,368,0.7428,1.7819
-49,31.16,0.0007,0.5747,1440.1,1.74,137.3,231.3,368.6,0.7482,1.7801
-48,33,0.0007,0.5447,1437.3,1.836,138.5,230.7,369.2,0.7537,1.7783
-47,34.93,0.0007,0.5165,1434.5,1.936,139.8,230.1,369.9,0.7591,1.7766
-46,36.95,0.0007,0.4902,1431.6,2.04,141,229.5,370.5,0.7645,1.7749
-45,39.06,0.0007,0.4653,1428.8,2.149,142.2,228.9,371.1,0.7699,1.7732
-44,41.27,0.0007,0.4419,1426,2.263,143.5,228.3,371.8,0.7753,1.7716
-43,43.58,0.0007,0.4198,1423.2,2.382,144.7,227.7,372.4,0.7806,1.77
-42,45.99,0.0007,0.3992,1420.3,2.505,145.9,227.1,373,0.786,1.7685
-41,48.51,0.0007,0.3798,1417.5,2.633,147.2,226.5,373.7,0.7913,1.767
-40,51.14,0.0007,0.3614,1414.6,2.767,148.4,225.9,374.3,0.7967,1.7655
-39,53.88,0.0007,0.3441,1411.8,2.906,149.6,225.3,374.9,0.802,1.7641
-38,56.74,0.0007,0.3279,1408.9,3.05,150.9,224.7,375.5,0.8073,1.7627
-37,59.72,0.0007,0.3125,1406,3.2,152.1,224,376.2,0.8126,1.7613
-36,62.83,0.0007,0.298,1403.1,3.356,153.4,223.4,376.8,0.8178,1.7599
-35,66.07,0.0007,0.2843,1400.2,3.518,154.6,222.8,377.4,0.8231,1.7586
-34,69.43,0.0007,0.2713,1397.4,3.686,155.9,222.2,378.1,0.8283,1.7573
-33,72.93,0.0007,0.259,1394.5,3.861,157.1,221.5,378.7,0.8336,1.7561
-32,76.58,0.0007,0.2474,1391.5,4.042,158.4,220.9,379.3,0.8388,1.7548
-31,80.36,0.0007,0.2365,1388.6,4.229,159.7,220.3,379.9,0.844,1.7536
-30,84.29,0.0007,0.226,1385.7,4.424,160.9,219.6,380.6,0.8492,1.7525
-29,88.37,0.0007,0.2162,1382.8,4.625,162.2,219,381.2,0.8544,1.7513
-28,92.61,0.0007,0.2069,1379.8,4.833,163.5,218.3,381.8,0.8595,1.7502
-27,97.02,0.0007,0.1981,1376.9,5.049,164.7,217.7,382.4,0.8647,1.7491
-26,101.58,0.0007,0.1896,1373.9,5.273,166,217.1,383.1,0.8698,1.7481
-25,106.32,0.0007,0.1817,1371,5.504,167.3,216.4,383.7,0.875,1.747
-24,111.22,0.0007,0.1741,1368,5.743,168.6,215.7,384.3,0.8801,1.746
-23,116.31,0.0007,0.1669,1365,5.991,169.8,215.1,384.9,0.8852,1.745
-22,121.57,0.0007,0.1601,1362,6.247,171.1,214.4,385.5,0.8903,1.744
-21,127.02,0.0007,0.1536,1359,6.511,172.4,213.7,386.2,0.8954,1.7431
-20,132.67,0.0007,0.1474,1356,6.784,173.7,213.1,386.8,0.9005,1.7422
-19,138.5,0.0007,0.1415,1353,7.066,175,212.4,387.4,0.9055,1.7413
-18,144.54,0.0007,0.1359,1349.9,7.357,176.3,211.7,388,0.9106,1.7404
-17,150.78,0.0007,0.1306,1346.9,7.658,177.6,211,388.6,0.9157,1.7395
-16,157.23,0.0007,0.1255,1343.8,7.968,178.9,210.4,389.2,0.9207,1.7387
-15,163.9,0.0007,0.1207,1340.8,8.288,180.2,209.7,389.8,0.9257,1.7379
-14,170.78,0.0007,0.116,1337.7,8.618,181.5,209,390.4,0.9307,1.7371
-13,177.89,0.0007,0.1116,1334.6,8.958,182.8,208.3,391.1,0.9357,1.7363
-12,185.22,0.0008,0.1074,1331.5,9.309,184.1,207.6,391.7,0.9407,1.7356
-11,192.79,0.0008,0.1034,1328.4,9.671,185.4,206.9,392.3,0.9457,1.7348
-10,200.6,0.0008,0.0996,1325.3,10.044,186.7,206.2,392.9,0.9507,1.7341
-9,208.65,0.0008,0.0959,1322.1,10.428,188,205.4,393.5,0.9557,1.7334
-8,216.95,0.0008,0.0924,1319,10.823,189.3,204.7,394.1,0.9606,1.7327
-7,225.5,0.0008,0.089,1315.8,11.231,190.7,204,394.7,0.9656,1.7321
-6,234.32,0.0008,0.0858,1312.6,11.65,192,203.3,395.3,0.9705,1.7314
-5,243.39,0.0008,0.0828,1309.4,12.082,193.3,202.5,395.9,0.9755,1.7308
-4,252.74,0.0008,0.0798,1306.2,12.526,194.6,201.8,396.4,0.9804,1.7302
-3,262.36,0.0008,0.077,1303,12.983,196,201.1,397,0.9853,1.7295
-2,272.26,0.0008,0.0743,1299.8,13.454,197.3,200.3,397.6,0.9902,1.729
-1,282.45,0.0008,0.0718,1296.5,13.937,198.7,199.6,398.2,0.9951,1.7284
0,292.93,0.0008,0.0693,1293.3,14.435,200,198.8,398.8,1,1.7278
1,303.7,0.0008,0.0669,1290,14.946,201.3,198,399.4,1.0049,1.7273
2,314.77,0.0008,0.0646,1286.7,15.472,202.7,197.3,400,1.0098,1.7267
3,326.16,0.0008,0.0624,1283.4,16.013,204,196.5,400.5,1.0146,1.7262
4,337.85,0.0008,0.0604,1280.1,16.569,205.4,195.7,401.1,1.0195,1.7257
5,349.87,0.0008,0.0583,1276.7,17.14,206.8,194.9,401.7,1.0244,1.7252
6,362.21,0.0008,0.0564,1273.4,17.726,208.1,194.2,402.3,1.0292,1.7247
7,374.88,0.0008,0.0546,1270,18.329,209.5,193.4,402.8,1.034,1.7242
8,387.88,0.0008,0.0528,1266.6,18.948,210.8,192.6,403.4,1.0389,1.7238
9,401.23,0.0008,0.0511,1263.2,19.583,212.2,191.8,404,1.0437,1.7233
10,414.92,0.0008,0.0494,1259.8,20.236,213.6,190.9,404.5,1.0485,1.7229
11,428.97,0.0008,0.0478,1256.3,20.906,215,190.1,405.1,1.0533,1.7224
12,443.37,0.0008,0.0463,1252.9,21.594,216.4,189.3,405.6,1.0582,1.722
13,458.11,0.0008,0.0448,1249.4,22.301,217.7,188.5,406.2,1.063,1.7216
14,473.25,0.0008,0.0434,1245.9,23.026,219.1,187.6,406.8,1.0678,1.7212
15,488.78,0.0008,0.0421,1242.3,23.77,220.5,186.8,407.3,1.0726,1.7208
16,504.68,0.0008,0.0408,1238.8,24.533,221.9,185.9,407.8,1.0773,1.7204
17,520.98,0.0008,0.0395,1235.2,25.317,223.3,185.1,408.4,1.0821,1.72
18,537.67,0.0008,0.0383,1231.6,26.121,224.7,184.2,408.9,1.0869,1.7196
19,554.76,0.0008,0.0371,1228,26.945,226.1,183.3,409.5,1.0917,1.7192
20,572.25,0.0008,0.036,1224.4,27.791,227.5,182.5,410,1.0964,1.7189
21,590.16,0.0008,0.0349,1220.7,28.659,228.9,181.6,410.5,1.1012,1.7185
22,608.49,0.0008,0.0338,1217,29.549,230.4,180.7,411,1.106,1.7182
23,627.25,0.0008,0.0328,1213.3,30.462,231.8,179.8,411.6,1.1107,1.7178
24,646.44,0.0008,0.0318,1209.6,31.399,233.2,178.9,412.1,1.1155,1.7175
25,666.06,0.0008,0.0309,1205.9,32.359,234.6,178,412.6,1.1202,1.7171
26,686.13,0.0008,0.03,1202.1,33.344,236.1,177,413.1,1.125,1.7168
27,706.66,0.0008,0.0291,1198.3,34.354,237.5,176.1,413.6,1.1297,1.7165
28,727.64,0.0008,0.0283,1194.4,35.389,238.9,175.2,414.1,1.1345,1.7161
29,749.04,0.0008,0.0274,1190.6,36.451,240.4,174.2,414.6,1.1392,1.7158
30,771.02,0.0008,0.0266,1186.7,37.54,241.8,173.3,415.1,1.1439,1.7155
31,793.43,0.0008,0.0259,1182.8,38.657,243.3,172.3,415.6,1.1487,1.7151
32,816.28,0.0008,0.0251,1178.8,39.802,244.8,171.3,416.1,1.1534,1.7148
33,839.66,0.0009,0.0244,1174.9,40.975,246.2,170.3,416.6,1.1581,1.7145
34,863.53,0.0009,0.0237,1170.8,42.179,247.7,169.3,417,1.1628,1.7142
35,887.91,0.0009,0.023,1166.8,43.413,249.2,168.3,417.5,1.1676,1.7138
36,912.8,0.0009,0.0224,1162.7,44.679,250.6,167.3,418,1.1723,1.7135
37,938.2,0.0009,0.0218,1158.6,45.977,252.1,166.3,418.4,1.177,1.7132
38,964.14,0.0009,0.0211,1154.5,47.308,253.6,165.3,418.9,1.1817,1.7129
39,990.6,0.0009,0.0205,1150.3,48.672,255.1,164.2,419.3,1.1864,1.7125
40,1017.61,0.0009,0.02,1146.1,50.072,256.6,163.2,419.8,1.1912,1.7122
41,1045.16,0.0009,0.0194,1141.9,51.508,258.1,162.1,420.2,1.1959,1.7119
42,1073.26,0.0009,0.0189,1137.6,52.98,259.6,161,420.6,1.2006,1.7115
43,1101.93,0.0009,0.0184,1133.3,54.49,261.1,159.9,421.1,1.2053,1.7112
44,1131.16,0.0009,0.0178,1128.9,56.04,262.7,158.8,421.5,1.2101,1.7108
45,1161.01,0.0009,0.0174,1124.5,57.63,264.2,157.7,421.9,1.2148,1.7105
46,1191.41,0.0009,0.0169,1120,59.261,265.7,156.6,422.3,1.2195,1.7101
47,1222.41,0.0009,0.0164,1115.6,60.934,267.3,155.4,422.7,1.2242,1.7097
48,1253.95,0.0009,0.016,1111,62.652,268.8,154.3,423.1,1.229,1.7093
49,1286.17,0.0009,0.0155,1106.4,64.415,270.4,153.1,423.5,1.2337,1.709
50,1319,0.0009,0.0151,1101.8,66.225,271.9,151.9,423.8,1.2384,1.7086
51,1352.44,0.0009,0.0147,1097.1,68.084,273.5,150.7,424.2,1.2432,1.7082
52,1386.52,0.0009,0.0143,1092.4,69.992,275.1,149.5,424.6,1.2479,1.7077
53,1421.23,0.0009,0.0139,1087.6,71.952,276.6,148.3,424.9,1.2527,1.7073
54,1456.58,0.0009,0.0135,1082.8,73.966,278.2,147,425.3,1.2574,1.7069
55,1492.59,0.0009,0.0132,1077.9,76.035,279.8,145.8,425.6,1.2622,1.7064
56,1529.26,0.0009,0.0128,1072.9,78.162,281.4,144.5,425.9,1.267,1.7059
57,1566.61,0.0009,0.0124,1067.9,80.348,283,143.2,426.2,1.2717,1.7055
58,1604.63,0.0009,0.0121,1062.8,82.596,284.6,141.9,426.5,1.2765,1.705
59,1643.35,0.0009,0.0118,1057.7,84.908,286.3,140.5,426.8,1.2813,1.7044
60,1682.76,0.001,0.0115,1052.5,87.287,287.9,139.2,427.1,1.2861,1.7039
61,1722.88,0.001,0.0111,1047.2,89.735,289.5,137.8,427.4,1.2909,1.7033
62,1763.72,0.001,0.0108,1041.8,92.255,291.2,136.4,427.6,1.2957,1.7028
63,1805.28,0.001,0.0105,1036.4,94.851,292.9,135,427.9,1.3006,1.7021
64,1847.47,0.001,0.0103,1030.9,97.526,294.5,133.6,428.1,1.3054,1.7015
65,1890.54,0.001,0.01,1025.3,100.283,296.2,132.1,428.3,1.3102,1.7009
66,1934.36,0.001,0.0097,1019.6,103.125,297.9,130.6,428.5,1.3151,1.7002
67,1978.94,0.001,0.0094,1013.8,106.058,299.6,129.1,428.7,1.32,1.6995
68,2024.28,0.001,0.0092,1008,109.085,301.3,127.5,428.8,1.3249,1.6987
69,2070.42,0.001,0.0089,1002,112.212,303,126,429,1.3298,1.6979
70,2117.34,0.001,0.0087,995.9,115.442,304.8,124.4,429.1,1.3347,1.6971
71,2165.08,0.001,0.0084,989.7,118.783,306.5,122.7,429.2,1.3397,1.6963
72,2213.63,0.001,0.0082,983.4,122.239,308.3,121.1,429.3,1.3446,1.6954
73,2263.01,0.001,0.0079,977,125.818,310.1,119.4,429.4,1.3496,1.6945
74,2313.23,0.001,0.0077,970.4,129.527,311.8,117.6,429.5,1.3547,1.6935
75,2364.31,0.001,0.0075,963.7,133.373,313.7,115.8,429.5,1.3597,1.6924
76,2416.25,0.001,0.0073,956.9,137.366,315.5,114,429.5,1.3648,1.6913
77,2469.08,0.0011,0.0071,949.9,141.514,317.3,112.2,429.5,1.3699,1.6902
78,2522.79,0.0011,0.0069,942.7,145.83,319.2,110.3,429.4,1.375,1.689
79,2577.42,0.0011,0.0067,935.4,150.324,321,108.3,429.3,1.3801,1.6877
80,2632.97,0.0011,0.0065,927.8,155.01,322.9,106.3,429.2,1.3854,1.6863
81,2689.46,0.0011,0.0063,920.1,159.904,324.9,104.2,429.1,1.3906,1.6849
82,2746.9,0.0011,0.0061,912.1,165.022,326.8,102.1,428.9,1.3959,1.6834
83,2805.31,0.0011,0.0059,903.9,170.383,328.8,99.9,428.7,1.4012,1.6818
84,2864.7,0.0011,0.0057,895.5,176.01,330.7,97.7,428.4,1.4066,1.68
85,2925.11,0.0011,0.0055,886.7,181.929,332.8,95.3,428.1,1.4121,1.6782
86,2986.54,0.0011,0.0053,877.6,188.169,334.8,92.9,427.7,1.4176,1.6762
87,3049.01,0.0012,0.0051,868.2,194.766,336.9,90.4,427.3,1.4232,1.6741
88,3112.55,0.0012,0.005,858.4,201.761,339,87.7,426.8,1.4289,1.6719
89,3177.1,0.0012,0.0048,848.1,209.206,341.2,85,426.2,1.4347,1.6694
90,3242.87,0.0012,0.0046,837.3,217.162,343.4,82.1,425.5,1.4406,1.6668
91,3309.78,0.0012,0.0044,826,225.706,345.7,79.1,424.8,1.4466,1.6639
92,3377.85,0.0012,0.0043,814,234.936,348,75.9,423.9,1.4528,1.6607
93,3447.13,0.0012,0.0041,801.1,244.978,350.4,72.5,422.9,1.4592,1.6572
94,3517.65,0.0013,0.0039,787.4,256.005,353,68.9,421.8,1.4658,1.6533
95,3589.44,0.0013,0.0037,772.3,268.255,355.6,64.9,420.5,1.4727,1.6489
96,3662.57,0.0013,0.0035,755.8,282.079,358.4,60.5,418.9,1.4799,1.6439
97,3737.09,0.0014,0.0034,737.1,298.029,361.3,55.7,417,1.4877,1.6381
98,3813.08,0.0014,0.0032,715.4,317.065,364.6,50,414.6,1.4963,1.6311
99,3890.64,0.0015,0.0029,688.6,341.133,368.4,43.2,411.5,1.5061,1.6221
100,3969.94,0.0015,0.0027,651.4,375.503,373.2,33.8,407,1.5187,1.6092
101,4051.35,0.0018,0.0022,566.4,457.594,383,13,396,1.5447,1.5794
